,weight_2018,pitax_2018,total_gross_income_2018,weight_2019,pitax_2019,total_gross_income_2019,weight_2020,pitax_2020,total_gross_income_2020,weight_2021,pitax_2021,total_gross_income_2021,weight_2022,pitax_2022,total_gross_income_2022,weight_ref_2022,pitax_ref_2022,total_gross_income_ref_2022,weight_ref_2023,pitax_ref_2023,total_gross_income_ref_2023,weight_ref_2024,pitax_ref_2024,total_gross_income_ref_2024,weight_ref_2025,pitax_ref_2025,total_gross_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_gross_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_gross_income_ref_2027,ETR,ETR_ref
87,"7,770.0000",269.0000,"4,535.0000","7,770.0000",294.0000,"4,958.0000","7,770.0000",293.0000,"4,937.0000","7,770.0000",323.0000,"5,448.0000","7,770.0000",339.0000,"5,726.0000","7,770.0000",339.0000,"5,726.0000","7,770.0000",365.0000,"6,150.0000","7,770.0000",380.0000,"6,415.0000","7,770.0000",404.0000,"6,812.0000","7,770.0000",428.0000,"7,210.0000","7,770.0000",454.0000,"7,657.0000",0.0592,0.0592
88,"7,770.0000",281.0000,"4,719.0000","7,770.0000",308.0000,"5,159.0000","7,770.0000",306.0000,"5,137.0000","7,770.0000",338.0000,"5,669.0000","7,770.0000",355.0000,"5,958.0000","7,770.0000",355.0000,"5,958.0000","7,770.0000",382.0000,"6,399.0000","7,770.0000",398.0000,"6,675.0000","7,770.0000",423.0000,"7,088.0000","7,770.0000",448.0000,"7,502.0000","7,770.0000",476.0000,"7,967.0000",0.0596,0.0596
89,"7,770.0000",299.0000,"4,929.0000","7,770.0000",326.0000,"5,388.0000","7,770.0000",325.0000,"5,365.0000","7,770.0000",359.0000,"5,920.0000","7,770.0000",377.0000,"6,222.0000","7,770.0000",377.0000,"6,222.0000","7,770.0000",405.0000,"6,683.0000","7,770.0000",423.0000,"6,971.0000","7,770.0000",449.0000,"7,403.0000","7,770.0000",475.0000,"7,835.0000","7,770.0000",505.0000,"8,321.0000",0.0606,0.0606
90,"7,770.0000",318.0000,"5,165.0000","7,770.0000",347.0000,"5,647.0000","7,770.0000",346.0000,"5,623.0000","7,770.0000",382.0000,"6,205.0000","7,770.0000",401.0000,"6,521.0000","7,770.0000",401.0000,"6,521.0000","7,770.0000",431.0000,"7,004.0000","7,770.0000",450.0000,"7,306.0000","7,770.0000",478.0000,"7,759.0000","7,770.0000",505.0000,"8,212.0000","7,770.0000",537.0000,"8,721.0000",0.0615,0.0615
91,"7,771.0000",338.0000,"5,444.0000","7,771.0000",370.0000,"5,951.0000","7,771.0000",368.0000,"5,926.0000","7,771.0000",407.0000,"6,539.0000","7,771.0000",427.0000,"6,872.0000","7,771.0000",427.0000,"6,872.0000","7,771.0000",459.0000,"7,381.0000","7,771.0000",479.0000,"7,699.0000","7,771.0000",509.0000,"8,177.0000","7,771.0000",538.0000,"8,654.0000","7,771.0000",572.0000,"9,190.0000",0.0621,0.0621
92,"7,770.0000",361.0000,"5,771.0000","7,770.0000",395.0000,"6,310.0000","7,770.0000",393.0000,"6,282.0000","7,770.0000",434.0000,"6,932.0000","7,770.0000",456.0000,"7,286.0000","7,770.0000",456.0000,"7,286.0000","7,770.0000",490.0000,"7,826.0000","7,770.0000",512.0000,"8,163.0000","7,770.0000",543.0000,"8,669.0000","7,770.0000",575.0000,"9,175.0000","7,770.0000",611.0000,"9,743.0000",0.0626,0.0626
93,"7,770.0000",396.0000,"6,174.0000","7,770.0000",433.0000,"6,750.0000","7,770.0000",431.0000,"6,721.0000","7,770.0000",476.0000,"7,416.0000","7,770.0000",500.0000,"7,794.0000","7,770.0000",500.0000,"7,794.0000","7,770.0000",537.0000,"8,371.0000","7,770.0000",561.0000,"8,732.0000","7,770.0000",595.0000,"9,274.0000","7,770.0000",630.0000,"9,815.0000","7,770.0000",669.0000,"10,423.0000",0.0642,0.0642
94,"7,770.0000",434.0000,"6,684.0000","7,770.0000",475.0000,"7,308.0000","7,770.0000",472.0000,"7,276.0000","7,770.0000",522.0000,"8,029.0000","7,770.0000",548.0000,"8,438.0000","7,770.0000",548.0000,"8,438.0000","7,770.0000",589.0000,"9,063.0000","7,770.0000",614.0000,"9,454.0000","7,770.0000",653.0000,"10,040.0000","7,770.0000",691.0000,"10,626.0000","7,770.0000",734.0000,"11,285.0000",0.0649,0.0649
95,"7,770.0000",482.0000,"7,345.0000","7,770.0000",527.0000,"8,030.0000","7,770.0000",524.0000,"7,995.0000","7,770.0000",579.0000,"8,822.0000","7,770.0000",609.0000,"9,272.0000","7,770.0000",609.0000,"9,272.0000","7,770.0000",654.0000,"9,959.0000","7,770.0000",682.0000,"10,388.0000","7,770.0000",725.0000,"11,032.0000","7,770.0000",767.0000,"11,676.0000","7,770.0000",815.0000,"12,400.0000",0.0657,0.0657
96,"7,770.0000",567.0000,"8,268.0000","7,770.0000",620.0000,"9,039.0000","7,770.0000",617.0000,"9,000.0000","7,770.0000",682.0000,"9,931.0000","7,770.0000",717.0000,"10,437.0000","7,770.0000",717.0000,"10,437.0000","7,770.0000",770.0000,"11,211.0000","7,770.0000",803.0000,"11,694.0000","7,770.0000",853.0000,"12,419.0000","7,770.0000",903.0000,"13,143.0000","7,770.0000",959.0000,"13,958.0000",0.0687,0.0687
97,"7,770.0000",702.0000,"9,689.0000","7,770.0000",768.0000,"10,593.0000","7,770.0000",765.0000,"10,547.0000","7,770.0000",844.0000,"11,638.0000","7,770.0000",888.0000,"12,232.0000","7,770.0000",888.0000,"12,232.0000","7,770.0000",954.0000,"13,138.0000","7,770.0000",995.0000,"13,704.0000","7,770.0000","1,057.0000","14,554.0000","7,770.0000","1,119.0000","15,403.0000","7,770.0000","1,188.0000","16,358.0000",0.0726,0.0726
98,"7,770.0000",985.0000,"12,681.0000","7,770.0000","1,078.0000","13,863.0000","7,770.0000","1,073.0000","13,803.0000","7,770.0000","1,185.0000","15,232.0000","7,770.0000","1,246.0000","16,008.0000","7,770.0000","1,246.0000","16,008.0000","7,770.0000","1,338.0000","17,194.0000","7,770.0000","1,396.0000","17,935.0000","7,770.0000","1,483.0000","19,047.0000","7,770.0000","1,570.0000","20,159.0000","7,770.0000","1,668.0000","21,408.0000",0.0778,0.0778
99,"7,771.0000","4,249.0000","45,990.0000","7,771.0000","4,652.0000","50,280.0000","7,771.0000","4,631.0000","50,063.0000","7,771.0000","5,119.0000","55,242.0000","7,771.0000","5,384.0000","58,059.0000","7,771.0000","5,384.0000","58,059.0000","7,771.0000","5,790.0000","62,360.0000","7,771.0000","6,044.0000","65,048.0000","7,771.0000","6,425.0000","69,080.0000","7,771.0000","6,807.0000","73,112.0000","7,771.0000","7,236.0000","77,643.0000",0.0927,0.0927
ALL,"777,012.0000","17,112.0000","281,543.0000","777,012.0000","18,755.0000","307,805.0000","777,012.0000","18,672.0000","306,472.0000","777,012.0000","20,652.0000","338,180.0000","777,012.0000","21,728.0000","355,425.0000","777,012.0000","21,728.0000","355,425.0000","777,012.0000","23,370.0000","381,753.0000","777,012.0000","24,395.0000","398,208.0000","777,012.0000","25,933.0000","422,890.0000","777,012.0000","27,470.0000","447,572.0000","777,012.0000","29,198.0000","475,315.0000",0.0611,0.0611
